time,open,high,low,close,MA,SMA-based MA,MA,MA,MA,New Moon,Full Moon,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),MA,SMA-based MA,EMA,EMA,EMA,EMA,True Strength Index,Signal,4% Advance,4% Decline,Net Breadth,Zero Line,Upper Level,Lower Level,Plot,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1986-07-17,0.055557,0.060186,0.055557,0.058643,,,0.0755976909090909,0.07286295238095238,0.06927444444444444,0,0,,0.060186,0.055557,0.058643,,,,0.07261100505934907,0.07116242827111782,0.06708263131719511,-31.056585597746082,-12.509466881225396,,,,,,,,34.803677775885035,45.97121498497978,,,,
1986-07-18,0.058643,0.059415,0.0571,0.057872,,,0.07524696363636363,0.07205461904761905,0.06747399999999998,0,0,,0.059415,0.0571,0.057872,,,,0.07208461202151518,0.06995420751919802,0.06524050505375609,-34.18489566056092,-15.605956706844756,,,,,,,,34.24999130470982,44.871566313425966,,,,
1986-07-21,0.057872,0.057872,0.056328,0.0571,,,0.07485414545454545,0.07115438095238096,0.06567355555555554,0,1,,0.057872,0.056328,0.0571,,,,0.07154944730646107,0.06878564319927093,0.06361240404300487,-36.69555809666718,-18.618756905390818,,,,,,,,33.6909502248472,43.69216585525773,,,,
1986-07-22,0.0571,0.0571,0.055557,0.055557,,,0.07451743636363636,0.07023580952380952,0.06361588888888887,0,0,,0.0571,0.055557,0.055557,,,,0.07097828847408746,0.06758303927206448,0.0620013232344039,-39.124004960519045,-21.548078056123423,,,,,,,,32.58366234570998,42.31482715788811,,,,
1986-07-23,0.055557,0.056328,0.054785,0.054785,,,0.07413863636363635,0.06920699999999999,0.06147244444444443,0,0,,0.056328,0.054785,0.054785,,,,0.07039995674287006,0.06641958115642226,0.060558058587523125,-41.220309218158185,-24.35839679355696,,,,,,,,32.034941620271226,41.06262589061688,,,,
1986-07-24,0.054785,0.055557,0.050927,0.051699,,,0.07366163636363636,0.06803123809523809,0.059071888888888875,0,0,,0.055557,0.050927,0.051699,,,,0.0697320654306247,0.06508134650583841,0.0587862468700185,-43.880141053598166,-27.147217402134274,,,,,,,,29.935763934579484,39.660483360081955,,,,
1986-07-25,0.050927,0.050927,0.048612,0.050927,,,0.07314254545454545,0.06685542857142857,0.0564141111111111,0,0,,0.050927,0.048612,0.050927,,,,0.06906045595095953,0.06379458773258037,0.0572143974960148,-46.15974814885448,-29.863293223094303,,,,,,,,29.43317545525305,38.30558779558625,,,,
1986-07-28,0.050155,0.050155,0.04784,0.050155,,,0.07259538181818181,0.06560614285714285,0.05461366666666666,0,0,,0.050155,0.04784,0.050155,,,,0.06838526109556811,0.0625546252114367,0.05580251799681184,-48.17586561712912,-32.4793749936707,,,,,,,,28.927282550563234,36.99721844392035,,,,
1986-07-29,0.050155,0.050155,0.04784,0.048998,,,0.07199912727272727,0.0643752380952381,0.05397066666666667,0,0,,0.050155,0.04784,0.048998,,,,0.06769285891358354,0.06132220473766973,0.05444161439744947,-50.11758827589104,-34.99911974827361,,,,,,,,28.171365412880206,35.54328461158635,,,,
1986-07-30,0.048998,0.049384,0.04784,0.049384,,,0.07142392727272727,0.06314433333333332,0.05294188888888889,0,0,,0.049384,0.04784,0.049384,,,,0.06703897109524126,0.06023691339788157,0.05343009151795958,-51.32829019602055,-37.33185838366603,,,,,,,,28.817794229424834,34.1355242661484,,,,
